,avg_trip_time
"(0, 0)",55.15
"(0, 5)",45.33
"(0, 8)",44.0
"(0, 10)",29.64
"(1, 1)",35.0
"(1, 2)",46.72
"(1, 6)",28.87
"(1, 7)",40.51
"(1, 8)",32.4
"(1, 9)",56.17
"(1, 10)",33.06
"(1, 11)",31.31
"(1, 12)",36.71
"(1, 26)",28.67
"(1, 32)",29.86
"(1, 33)",40.0
"(1, 35)",25.0
"(2, 1)",35.93
"(2, 2)",45.72
"(2, 6)",38.4
"(2, 10)",51.0
"(2, 11)",33.64
"(2, 12)",34.0
"(2, 14)",86.0
"(2, 21)",80.57
"(3, 0)",28.0
"(3, 3)",49.68
"(3, 5)",46.62
"(3, 8)",25.35
"(3, 10)",31.62
"(3, 15)",49.5
"(3, 16)",41.67
"(3, 22)",39.86
"(3, 24)",44.0
"(3, 30)",86.0
"(4, 4)",88.0
"(4, 7)",32.16
"(4, 9)",48.21
"(4, 10)",50.0
"(4, 12)",38.11
"(4, 13)",44.5
"(4, 14)",50.55
"(4, 15)",16.0
"(4, 34)",22.8
"(5, 1)",36.6
"(5, 2)",46.71
"(5, 6)",29.62
"(5, 7)",52.33
"(5, 8)",102.0
"(5, 9)",45.43
"(5, 10)",23.85
"(5, 11)",38.58
"(5, 14)",18.0
"(5, 15)",21.2
"(5, 18)",28.0
"(5, 25)",40.0
"(5, 28)",4.0
"(5, 29)",40.52
"(5, 32)",44.0
"(5, 35)",26.0
"(6, 1)",32.54
"(6, 2)",54.91
"(6, 6)",16.0
"(6, 7)",36.6
"(6, 8)",14.5
"(6, 9)",47.8
"(6, 11)",35.98
"(6, 15)",46.38
"(6, 17)",39.22
"(6, 18)",34.14
"(6, 19)",35.71
"(6, 20)",34.12
"(6, 26)",14.0
"(6, 27)",20.0
"(6, 29)",38.0
"(6, 31)",39.33
"(6, 32)",57.1
"(6, 33)",8.0
"(7, 1)",34.57
"(7, 2)",41.95
"(7, 6)",33.33
"(7, 7)",10.5
"(7, 9)",54.73
"(7, 10)",54.0
"(7, 11)",39.71
"(7, 12)",31.33
"(7, 13)",36.42
"(7, 15)",35.4
"(7, 17)",33.02
"(7, 18)",18.0
"(7, 21)",22.0
"(7, 25)",34.38
"(7, 26)",34.95
"(7, 28)",38.0
"(7, 30)",42.0
"(7, 32)",29.6
"(7, 35)",6.0
"(8, 0)",52.4
"(8, 3)",51.78
